"","film","revenue","budget","language","popularity","runtime","vote average","vote count","id","release date","certification","genre","genre_txt","log_budget","log_revenue","log_popularity","budgtet_mill","rev_mil","year","lustrum","decade"
"1","MASH",81600000,3500000,"en",8736,116,7.1,488,651,1970-01-24,"R",35,"Comedy",15.0682735264596,18.2173398199343,9.07520769798469,35,816,1970,"70-74","70-79"
"2","MASH",81600000,3500000,"en",8736,116,7.1,488,651,1970-01-24,"R",18,"Drama",15.0682735264596,18.2173398199343,9.07520769798469,35,816,1970,"70-74","70-79"
"3","MASH",81600000,3500000,"en",8736,116,7.1,488,651,1970-01-24,"R",10752,"War",15.0682735264596,18.2173398199343,9.07520769798469,35,816,1970,"70-74","70-79"
"4","Patton",89800000,1.2e+07,"en",9648,172,7.5,588,11202,1970-01-25,"PG",18,"Drama",16.3004172077523,18.3130955332724,9.17450591896697,120,898,1970,"70-74","70-79"
"5","Patton",89800000,1.2e+07,"en",9648,172,7.5,588,11202,1970-01-25,"PG",36,"History",16.3004172077523,18.3130955332724,9.17450591896697,120,898,1970,"70-74","70-79"
"6","Patton",89800000,1.2e+07,"en",9648,172,7.5,588,11202,1970-01-25,"PG",10752,"War",16.3004172077523,18.3130955332724,9.17450591896697,120,898,1970,"70-74","70-79"
"7","Tora Tora Tora",29548291,25485000,"en",6885,144,7.1,252,11165,1970-01-26,"G",18,"Drama",17.0536006017563,17.2015364659646,8.83710041116275,254.85,295.48,1970,"70-74","70-79"
"8","Tora Tora Tora",29548291,25485000,"en",6885,144,7.1,252,11165,1970-01-26,"G",36,"History",17.0536006017563,17.2015364659646,8.83710041116275,254.85,295.48,1970,"70-74","70-79"
"9","Tora Tora Tora",29548291,25485000,"en",6885,144,7.1,252,11165,1970-01-26,"G",10752,"War",17.0536006017563,17.2015364659646,8.83710041116275,254.85,295.48,1970,"70-74","70-79"
"10","Zabriskie Point",1e+06,7e+06,"en",6.8,113,7.2,204,2998,1970-02-09,"R",18,"Drama",15.7614207070196,13.8155105579643,1.91692261218206,70,10,1970,"70-74","70-79"
"11","Zabriskie Point",1e+06,7e+06,"en",6.8,113,7.2,204,2998,1970-02-09,"R",10749,"Romance",15.7614207070196,13.8155105579643,1.91692261218206,70,10,1970,"70-74","70-79"
"12","The Party at Kitty and Studs",0,5000,"en",6188,71,2.9,35,4255,1970-02-10,NA,35,"Comedy",8.51719319141624,1,8.73036721169296,0.05,0,1970,"70-74","70-79"
"13","The Party at Kitty and Studs",0,5000,"en",6188,71,2.9,35,4255,1970-02-10,NA,18,"Drama",8.51719319141624,1,8.73036721169296,0.05,0,1970,"70-74","70-79"
"14","Scream and Scream Again",0,0,"en",4.57,95,5.4,49,42594,1970-02-13,"PG",80,"Crime",1,1,1.51951320490611,0,0,1970,"70-74","70-79"
"15","Scream and Scream Again",0,0,"en",4.57,95,5.4,49,42594,1970-02-13,"PG",27,"Horror",1,1,1.51951320490611,0,0,1970,"70-74","70-79"
"16","Hercules in New York",0,0,"en",6322,91,3.8,124,5227,1970-02-23,"G",28,"Action",1,1,8.75179089277556,0,0,1970,"70-74","70-79"
"17","Hercules in New York",0,0,"en",6322,91,3.8,124,5227,1970-02-23,"G",12,"Adventure",1,1,8.75179089277556,0,0,1970,"70-74","70-79"
"18","Hercules in New York",0,0,"en",6322,91,3.8,124,5227,1970-02-23,"G",35,"Comedy",1,1,8.75179089277556,0,0,1970,"70-74","70-79"
"19","Hercules in New York",0,0,"en",6322,91,3.8,124,5227,1970-02-23,"G",14,"Fantasy",1,1,8.75179089277556,0,0,1970,"70-74","70-79"
"20","Hercules in New York",0,0,"en",6322,91,3.8,124,5227,1970-02-23,"G",878,"Science Fiction",1,1,8.75179089277556,0,0,1970,"70-74","70-79"
