"n","film","revenue","budget","language","popularity","vote.average","vote.count","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev","id"
"1","MASH",81600000,3500000,"en",8736,7.1,488,"1970-01-24",35,"R","Comedy",1970,"70-74","70-79",6.54406804435028,7.91169015875386,"651"
"2","Patton",89800000,1.2e+07,"en",9648,7.5,588,"1970-01-25",18,"PG","Drama",1970,"70-74","70-79",7.07918124604763,7.9532763366673,"11202"
"3","Tora Tora Tora",29548291,25485000,"en",6885,7.1,252,"1970-01-26",18,"G","Drama",1970,"70-74","70-79",7.40628463792473,7.47053236742597,"11165"
"4","Zabriskie Point",1e+06,7e+06,"en",6.8,7.2,204,"1970-02-09",18,"R","Drama",1970,"70-74","70-79",6.84509804001426,6,"2998"
"5","The Party at Kitty and Studs",0,5000,"en",6188,2.9,35,"1970-02-10",35,NA,"Comedy",1970,"70-74","70-79",3.69897000433602,1,"4255"
"6","Scream and Scream Again",0,0,"en",4.57,5.4,49,"1970-02-13",80,"PG","Crime",1970,"70-74","70-79",1,1,"42594"
"7","Hercules in New York",0,0,"en",6322,3.8,124,"1970-02-23",28,"G","Action",1970,"70-74","70-79",1,1,"5227"
"8","The Bird with the Crystal Plumage",0,5e+05,"it",7418,7.2,307,"1970-02-27",27,"R","Horror",1970,"70-74","70-79",5.69897000433602,1,"20345"
"9","Airport",100489151,1e+07,"en",7008,6.5,170,"1970-03-05",28,"G","Action",1970,"70-74","70-79",7,8.0021191770285,"10671"
"10","Woodstock",34505110,6e+05,"en",7419,7.5,136,"1970-03-26",99,"R","Documentary",1970,"70-74","70-79",5.77815125038364,7.5378834162462,"9459"
"11","Tristana",0,0,"es",5959,7.4,102,"1970-03-29",18,NA,"Drama",1970,"70-74","70-79",1,1,"35838"
"12","Rio Lobo",0,0,"en",5831,6.3,101,"1970-04-01",37,"G","Western",1970,"70-74","70-79",1,1,"26593"
"13","Kes",0,0,"en",5362,7.5,197,"1970-04-03",18,"R","Drama",1970,"70-74","70-79",1,1,"13384"
"14","Beneath the Planet of the Apes",18999718,3e+06,"en",8029,6.2,647,"1970-05-01",12,"G","Adventure",1970,"70-74","70-79",6.47712125471966,7.27874715506058,"1685"
"15","A Man Called Horse",0,0,"en",5883,6.4,92,"1970-05-01",28,"R","Action",1970,"70-74","70-79",1,1,"14676"
"16","Taste the Blood of Dracula",0,0,"en",5039,6.1,69,"1970-05-07",27,"R","Horror",1970,"70-74","70-79",1,1,"29748"
"17","The Ballad of Cable Hogue",5e+06,3716946,"en",5261,7.1,93,"1970-05-13",28,"R","Action",1970,"70-74","70-79",6.57018625168696,6.69897000433602,"23330"
"18","Borsalino",0,0,"fr",4912,7,95,"1970-05-19",80,NA,"Crime",1970,"70-74","70-79",1,1,"25251"
"19","Two Mules for Sister Sara",5050000,0,"en",8515,7,275,"1970-06-14",37,"PG","Western",1970,"70-74","70-79",1,6.70329137811866,"11916"
"20","Kellys Heroes",5200000,4e+06,"en",8608,7.4,346,"1970-06-22",12,"PG","Adventure",1970,"70-74","70-79",6.60205999132796,6.7160033436348,"11589"
"21","Catch22",24911670,1.8e+07,"en",6.2,6.9,147,"1970-06-24",35,"R","Comedy",1970,"70-74","70-79",7.25527250510331,7.39640284224844,"10364"
"22","Beyond the Valley of the Dolls",4e+07,2090000,"en",6483,6.5,101,"1970-07-17",35,NA,"Comedy",1970,"70-74","70-79",6.32014628611105,7.60205999132796,"5722"
"23","Chisum",0,6e+06,"en",5643,6.8,86,"1970-07-23",37,"G","Western",1970,"70-74","70-79",6.77815125038364,1,"38765"
"24","Performance",0,0,"en",6538,7.1,82,"1970-08-03",80,"R","Crime",1970,"70-74","70-79",1,1,"26606"
"25","Soldier Blue",0,0,"en",5597,7.3,85,"1970-08-12",37,"R","Western",1970,"70-74","70-79",1,1,"14384"
"26","Five Easy Pieces",18099091,0,"en",8867,7.3,230,"1970-09-12",18,"R","Drama",1970,"70-74","70-79",1,7.25765676362071,"26617"
"27","The Vampire Lovers",0,0,"en",5591,6.5,70,"1970-10-04",27,"R","Horror",1970,"70-74","70-79",1,1,"31952"
"28","Valerie and Her Week of Wonders",0,0,"cs",7505,6.9,107,"1970-10-10",14,NA,"Fantasy",1970,"70-74","70-79",1,1,"46315"
"29","Le Cercle Rouge",0,0,"fr",5918,7.7,279,"1970-10-19",18,NA,"Drama",1970,"70-74","70-79",1,1,"11657"
"30","The Conformist",0,750000,"it",6126,7.8,301,"1970-10-21",18,"R","Drama",1970,"70-74","70-79",5.8750612633917,1,"8416"
"31","The Private Life of Sherlock Holmes",1500000,1e+07,"en",5439,7,135,"1970-10-29",12,"PG-13","Adventure",1970,"70-74","70-79",7,6.17609125905568,"5185"
"32","Investigation of a Citizen Above Suspicion",0,0,"it",7671,8.3,303,"1970-11-13",80,NA,"Crime",1970,"70-74","70-79",1,1,"26451"
"33","Gimme Shelter",252570,0,"en",5677,7.6,72,"1970-12-06",99,NA,"Documentary",1970,"70-74","70-79",1,5.4023817642391,"132"
"34","Claires Knee",0,0,"fr",5467,7.4,90,"1970-12-11",18,"R","Drama",1970,"70-74","70-79",1,1,"2860"
"35","Little Big Man",31559552,1.5e+07,"en",5943,7.7,280,"1970-12-14",12,"PG-13","Adventure",1970,"70-74","70-79",7.17609125905568,7.49913082960364,"11040"
"36","Love Story",136400000,2200000,"en",7908,6.7,322,"1970-12-16",18,"PG","Drama",1970,"70-74","70-79",6.34242268082221,8.13481437032046,"9062"
"37","El Topo",0,4e+05,"es",6132,7.3,276,"1970-12-18",28,"NR","Action",1970,"70-74","70-79",5.60205999132796,1,"13041"
"38","Donkey Skin",0,0,"fr",6416,7.3,219,"1970-12-20",35,NA,"Comedy",1970,"70-74","70-79",1,1,"5590"
"39","They Call Me Trinity",0,0,"it",10699,7.6,673,"1970-12-22",28,"G","Action",1970,"70-74","70-79",1,1,"9394"
"40","The Aristocats",55675257,4e+06,"en",16669,7.3,3180,"1970-12-23",12,"G","Adventure",1970,"70-74","70-79",6.60205999132796,7.74566223043754,"10112"
"41","The Decameron",0,0,"it",9883,7.1,134,"1971-01-01",35,"R","Comedy",1971,"70-74","70-79",1,1,"33583"
"42","Vanishing Point",72266306,1300000,"en",5698,7.2,224,"1971-01-15",28,"R","Action",1971,"70-74","70-79",6.11394335230684,7.85893585567528,"11951"
"43","The Cat o Nine Tails",1204739,1e+06,"it",6304,6.7,175,"1971-02-12",27,NA,"Horror",1971,"70-74","70-79",6,6.08089296961852,"27431"
"44","Death in Venice",0,2,"it",5512,7.3,196,"1971-03-01",18,NA,"Drama",1971,"70-74","70-79",0.301029995663981,1,"6619"
"45","Get Carter",0,1814462,"en",6462,7.1,220,"1971-03-03",80,"R","Crime",1971,"70-74","70-79",6.25874787726894,1,"1485"
"46","THX 1138",2437000,777000,"en",8202,6.6,475,"1971-03-11",18,"R","Drama",1971,"70-74","70-79",5.89042101880091,6.38685552918472,"636"
