"","film","revenue","budget","language","popularity","runtime","vote average","vote count","id","tagline","release date","certification","genre","genre_txt","year"
"1","M*A*S*H",81600000,3500000,"en",8736,116,7.1,488,651,"M*A*S*H Gives A D*A*M*N.",1970-01-24,"R",35,"Comedy",1970
"2","M*A*S*H",81600000,3500000,"en",8736,116,7.1,488,651,"M*A*S*H Gives A D*A*M*N.",1970-01-24,"R",18,"Drama",1970
"3","M*A*S*H",81600000,3500000,"en",8736,116,7.1,488,651,"M*A*S*H Gives A D*A*M*N.",1970-01-24,"R",10752,"War",1970
"4","Patton",89800000,1.2e+07,"en",9648,172,7.5,588,11202,"The Rebel Warrior",1970-01-25,"PG",18,"Drama",1970
"5","Patton",89800000,1.2e+07,"en",9648,172,7.5,588,11202,"The Rebel Warrior",1970-01-25,"PG",36,"History",1970
"6","Patton",89800000,1.2e+07,"en",9648,172,7.5,588,11202,"The Rebel Warrior",1970-01-25,"PG",10752,"War",1970
"7","Tora! Tora! Tora!",29548291,25485000,"en",6885,144,7.1,252,11165,"The incredible attack on Pearl Harbor.",1970-01-26,"G",18,"Drama",1970
"8","Tora! Tora! Tora!",29548291,25485000,"en",6885,144,7.1,252,11165,"The incredible attack on Pearl Harbor.",1970-01-26,"G",36,"History",1970
"9","Tora! Tora! Tora!",29548291,25485000,"en",6885,144,7.1,252,11165,"The incredible attack on Pearl Harbor.",1970-01-26,"G",10752,"War",1970
"10","Zabriskie Point",1e+06,7e+06,"en",6.8,113,7.2,204,2998,"How you get there depends on where you're at.",1970-02-09,"R",18,"Drama",1970
"11","Zabriskie Point",1e+06,7e+06,"en",6.8,113,7.2,204,2998,"How you get there depends on where you're at.",1970-02-09,"R",10749,"Romance",1970
"12","The Party at Kitty and Stud's",0,5000,"en",6188,71,2.9,35,4255,NA,1970-02-10,NA,35,"Comedy",1970
"13","The Party at Kitty and Stud's",0,5000,"en",6188,71,2.9,35,4255,NA,1970-02-10,NA,18,"Drama",1970
"14","Scream and Scream Again",0,0,"en",4.57,95,5.4,49,42594,"TRIPLE DISTILLED HORROR... as powerful as a vat of boiling ACID!",1970-02-13,"PG",80,"Crime",1970
"15","Scream and Scream Again",0,0,"en",4.57,95,5.4,49,42594,"TRIPLE DISTILLED HORROR... as powerful as a vat of boiling ACID!",1970-02-13,"PG",27,"Horror",1970
"16","Hercules in New York",0,0,"en",6322,91,3.8,124,5227,NA,1970-02-23,"G",28,"Action",1970
"17","Hercules in New York",0,0,"en",6322,91,3.8,124,5227,NA,1970-02-23,"G",12,"Adventure",1970
"18","Hercules in New York",0,0,"en",6322,91,3.8,124,5227,NA,1970-02-23,"G",35,"Comedy",1970
"19","Hercules in New York",0,0,"en",6322,91,3.8,124,5227,NA,1970-02-23,"G",14,"Fantasy",1970
"20","Hercules in New York",0,0,"en",6322,91,3.8,124,5227,NA,1970-02-23,"G",878,"Science Fiction",1970
"21","The Bird with the Crystal Plumage",0,5e+05,"it",7418,96,7.2,307,20345,"A stunning portrait in psycho-terror!",1970-02-27,"R",27,"Horror",1970
"22","The Bird with the Crystal Plumage",0,5e+05,"it",7418,96,7.2,307,20345,"A stunning portrait in psycho-terror!",1970-02-27,"R",9648,"Mystery",1970
"23","The Bird with the Crystal Plumage",0,5e+05,"it",7418,96,7.2,307,20345,"A stunning portrait in psycho-terror!",1970-02-27,"R",53,"Thriller",1970
"24","Airport",100489151,1e+07,"en",7008,137,6.5,170,10671,"The #1 novel of the year - now a motion picture!",1970-03-05,"G",28,"Action",1970
"25","Airport",100489151,1e+07,"en",7008,137,6.5,170,10671,"The #1 novel of the year - now a motion picture!",1970-03-05,"G",18,"Drama",1970
"26","Airport",100489151,1e+07,"en",7008,137,6.5,170,10671,"The #1 novel of the year - now a motion picture!",1970-03-05,"G",53,"Thriller",1970
"27","Woodstock",34505110,6e+05,"en",7419,225,7.5,136,9459,"3 days of peace, music...and love.",1970-03-26,"R",99,"Documentary",1970
"28","Woodstock",34505110,6e+05,"en",7419,225,7.5,136,9459,"3 days of peace, music...and love.",1970-03-26,"R",36,"History",1970
"29","Woodstock",34505110,6e+05,"en",7419,225,7.5,136,9459,"3 days of peace, music...and love.",1970-03-26,"R",10402,"Music",1970
"30","Tristana",0,0,"es",5959,95,7.4,102,35838,"Somewhere between the innocent girl and the not so innocent mistress is the bizarre, sensuous story of Tristana",1970-03-29,NA,18,"Drama",1970
"31","Rio Lobo",0,0,"en",5831,114,6.3,101,26593,"Give 'Em Hell, John.",1970-04-01,"G",37,"Western",1970
"32","Kes",0,0,"en",5362,110,7.5,197,13384,"They beat him.  They deprived him. they ridiculed him. They broke his heart but they couldn't break his spirit.",1970-04-03,"R",18,"Drama",1970
"33","Beneath the Planet of the Apes",18999718,3e+06,"en",8029,95,6.2,647,1685,"Now civilization's final battle between man and ape is about to begin.",1970-05-01,"G",12,"Adventure",1970
"34","Beneath the Planet of the Apes",18999718,3e+06,"en",8029,95,6.2,647,1685,"Now civilization's final battle between man and ape is about to begin.",1970-05-01,"G",878,"Science Fiction",1970
"35","Beneath the Planet of the Apes",18999718,3e+06,"en",8029,95,6.2,647,1685,"Now civilization's final battle between man and ape is about to begin.",1970-05-01,"G",9648,"Mystery",1970
"36","A Man Called Horse",0,0,"en",5883,114,6.4,92,14676,"A man called",1970-05-01,"R",28,"Action",1970
"37","A Man Called Horse",0,0,"en",5883,114,6.4,92,14676,"A man called",1970-05-01,"R",12,"Adventure",1970
"38","A Man Called Horse",0,0,"en",5883,114,6.4,92,14676,"A man called",1970-05-01,"R",18,"Drama",1970
"39","A Man Called Horse",0,0,"en",5883,114,6.4,92,14676,"A man called",1970-05-01,"R",37,"Western",1970
"40","Taste the Blood of Dracula",0,0,"en",5039,95,6.1,69,29748,"DRINK A PINT OF BLOOD A DAY",1970-05-07,"R",27,"Horror",1970
"41","The Ballad of Cable Hogue",5e+06,3716946,"en",5261,121,7.1,93,23330,"Cable Hogue says … “Do unto others … as you would have others do unto you.”",1970-05-13,"R",28,"Action",1970
"42","The Ballad of Cable Hogue",5e+06,3716946,"en",5261,121,7.1,93,23330,"Cable Hogue says … “Do unto others … as you would have others do unto you.”",1970-05-13,"R",35,"Comedy",1970
"43","The Ballad of Cable Hogue",5e+06,3716946,"en",5261,121,7.1,93,23330,"Cable Hogue says … “Do unto others … as you would have others do unto you.”",1970-05-13,"R",37,"Western",1970
"44","Borsalino",0,0,"fr",4912,126,7,95,25251,NA,1970-05-19,NA,80,"Crime",1970
"45","Borsalino",0,0,"fr",4912,126,7,95,25251,NA,1970-05-19,NA,18,"Drama",1970
"46","Two Mules for Sister Sara",5050000,0,"en",8515,114,7,275,11916,"CLINT EASTWOOD...the deadliest man alive...takes on a whole army with two guns and a fistful of dynamite!",1970-06-14,"PG",37,"Western",1970
"47","Kelly's Heroes",5200000,4e+06,"en",8608,144,7.4,346,11589,"They set out to rob a bank... and damn near won a war instead!",1970-06-22,"PG",12,"Adventure",1970
"48","Kelly's Heroes",5200000,4e+06,"en",8608,144,7.4,346,11589,"They set out to rob a bank... and damn near won a war instead!",1970-06-22,"PG",35,"Comedy",1970
"49","Kelly's Heroes",5200000,4e+06,"en",8608,144,7.4,346,11589,"They set out to rob a bank... and damn near won a war instead!",1970-06-22,"PG",10752,"War",1970
"50","Catch-22",24911670,1.8e+07,"en",6.2,121,6.9,147,10364,NA,1970-06-24,"R",35,"Comedy",1970
"51","Catch-22",24911670,1.8e+07,"en",6.2,121,6.9,147,10364,NA,1970-06-24,"R",18,"Drama",1970
"52","Catch-22",24911670,1.8e+07,"en",6.2,121,6.9,147,10364,NA,1970-06-24,"R",10752,"War",1970
"53","Beyond the Valley of the Dolls",4e+07,2090000,"en",6483,109,6.5,101,5722,"This Is Not A Sequel. There Has Never Been Anything Like It!",1970-07-17,NA,35,"Comedy",1970
"54","Beyond the Valley of the Dolls",4e+07,2090000,"en",6483,109,6.5,101,5722,"This Is Not A Sequel. There Has Never Been Anything Like It!",1970-07-17,NA,18,"Drama",1970
"55","Beyond the Valley of the Dolls",4e+07,2090000,"en",6483,109,6.5,101,5722,"This Is Not A Sequel. There Has Never Been Anything Like It!",1970-07-17,NA,53,"Thriller",1970
"56","Chisum",0,6e+06,"en",5643,111,6.8,86,38765,"THE LEGEND - John Wayne is 'Chisum'",1970-07-23,"G",37,"Western",1970
"57","Performance",0,0,"en",6538,106,7.1,82,26606,"See them all in a film about fantasy. And reality. Vice. And versa.",1970-08-03,"R",80,"Crime",1970
"58","Performance",0,0,"en",6538,106,7.1,82,26606,"See them all in a film about fantasy. And reality. Vice. And versa.",1970-08-03,"R",18,"Drama",1970
"59","Performance",0,0,"en",6538,106,7.1,82,26606,"See them all in a film about fantasy. And reality. Vice. And versa.",1970-08-03,"R",10402,"Music",1970
"60","Soldier Blue",0,0,"en",5597,112,7.3,85,14384,"The most savage film in history!",1970-08-12,"R",37,"Western",1970
"61","Soldier Blue",0,0,"en",5597,112,7.3,85,14384,"The most savage film in history!",1970-08-12,"R",28,"Action",1970
"62","Soldier Blue",0,0,"en",5597,112,7.3,85,14384,"The most savage film in history!",1970-08-12,"R",18,"Drama",1970
"63","Five Easy Pieces",18099091,0,"en",8867,98,7.3,230,26617,"He rode the fast lane on the road to nowhere.",1970-09-12,"R",18,"Drama",1970
"64","The Vampire Lovers",0,0,"en",5591,91,6.5,70,31952,"An erotic nightmare of tormented lusts that throb in headless, undead bodies!",1970-10-04,"R",27,"Horror",1970
"65","Valerie and Her Week of Wonders",0,0,"cs",7505,73,6.9,107,46315,NA,1970-10-10,NA,14,"Fantasy",1970
"66","Valerie and Her Week of Wonders",0,0,"cs",7505,73,6.9,107,46315,NA,1970-10-10,NA,12,"Adventure",1970
"67","Valerie and Her Week of Wonders",0,0,"cs",7505,73,6.9,107,46315,NA,1970-10-10,NA,18,"Drama",1970
"68","Le Cercle Rouge",0,0,"fr",5918,140,7.7,279,11657,"No place to hide . . . nowhere to run . . .",1970-10-19,NA,18,"Drama",1970
"69","Le Cercle Rouge",0,0,"fr",5918,140,7.7,279,11657,"No place to hide . . . nowhere to run . . .",1970-10-19,NA,53,"Thriller",1970
"70","Le Cercle Rouge",0,0,"fr",5918,140,7.7,279,11657,"No place to hide . . . nowhere to run . . .",1970-10-19,NA,80,"Crime",1970
"71","The Conformist",0,750000,"it",6126,108,7.8,301,8416,"A dazzling movie",1970-10-21,"R",18,"Drama",1970
"72","The Private Life of Sherlock Holmes",1500000,1e+07,"en",5439,125,7,135,5185,"The Private Life of Sherlock Holmes. Anything But Elementary.",1970-10-29,"PG-13",12,"Adventure",1970
"73","The Private Life of Sherlock Holmes",1500000,1e+07,"en",5439,125,7,135,5185,"The Private Life of Sherlock Holmes. Anything But Elementary.",1970-10-29,"PG-13",35,"Comedy",1970
"74","The Private Life of Sherlock Holmes",1500000,1e+07,"en",5439,125,7,135,5185,"The Private Life of Sherlock Holmes. Anything But Elementary.",1970-10-29,"PG-13",80,"Crime",1970
"75","The Private Life of Sherlock Holmes",1500000,1e+07,"en",5439,125,7,135,5185,"The Private Life of Sherlock Holmes. Anything But Elementary.",1970-10-29,"PG-13",9648,"Mystery",1970
"76","The Private Life of Sherlock Holmes",1500000,1e+07,"en",5439,125,7,135,5185,"The Private Life of Sherlock Holmes. Anything But Elementary.",1970-10-29,"PG-13",53,"Thriller",1970
"77","The Private Life of Sherlock Holmes",1500000,1e+07,"en",5439,125,7,135,5185,"The Private Life of Sherlock Holmes. Anything But Elementary.",1970-10-29,"PG-13",10749,"Romance",1970
"78","Investigation of a Citizen Above Suspicion",0,0,"it",7671,115,8.3,303,26451,"When you're a big man in the big city, can you get away with murder?",1970-11-13,NA,80,"Crime",1970
"79","Investigation of a Citizen Above Suspicion",0,0,"it",7671,115,8.3,303,26451,"When you're a big man in the big city, can you get away with murder?",1970-11-13,NA,18,"Drama",1970
"80","Gimme Shelter",252570,0,"en",5677,90,7.6,72,132,"The music that thrilled the world ... and the killing that stunned it!",1970-12-06,NA,99,"Documentary",1970
"81","Gimme Shelter",252570,0,"en",5677,90,7.6,72,132,"The music that thrilled the world ... and the killing that stunned it!",1970-12-06,NA,10402,"Music",1970
"82","Claire's Knee",0,0,"fr",5467,105,7.4,90,2860,NA,1970-12-11,"R",18,"Drama",1970
"83","Claire's Knee",0,0,"fr",5467,105,7.4,90,2860,NA,1970-12-11,"R",10749,"Romance",1970
"84","Little Big Man",31559552,1.5e+07,"en",5943,139,7.7,280,11040,"Either the most neglected hero in history or a liar of insane proportion!",1970-12-14,"PG-13",12,"Adventure",1970
"85","Little Big Man",31559552,1.5e+07,"en",5943,139,7.7,280,11040,"Either the most neglected hero in history or a liar of insane proportion!",1970-12-14,"PG-13",35,"Comedy",1970
"86","Little Big Man",31559552,1.5e+07,"en",5943,139,7.7,280,11040,"Either the most neglected hero in history or a liar of insane proportion!",1970-12-14,"PG-13",18,"Drama",1970
"87","Little Big Man",31559552,1.5e+07,"en",5943,139,7.7,280,11040,"Either the most neglected hero in history or a liar of insane proportion!",1970-12-14,"PG-13",37,"Western",1970
"88","Love Story",136400000,2200000,"en",7908,99,6.7,322,9062,"Love means never having to say you're sorry",1970-12-16,"PG",18,"Drama",1970
"89","Love Story",136400000,2200000,"en",7908,99,6.7,322,9062,"Love means never having to say you're sorry",1970-12-16,"PG",10749,"Romance",1970
"90","El Topo",0,4e+05,"es",6132,125,7.3,276,13041,"The Definitive Cult Spaghetti Western",1970-12-18,"NR",28,"Action",1970
"91","El Topo",0,4e+05,"es",6132,125,7.3,276,13041,"The Definitive Cult Spaghetti Western",1970-12-18,"NR",12,"Adventure",1970
"92","El Topo",0,4e+05,"es",6132,125,7.3,276,13041,"The Definitive Cult Spaghetti Western",1970-12-18,"NR",18,"Drama",1970
"93","El Topo",0,4e+05,"es",6132,125,7.3,276,13041,"The Definitive Cult Spaghetti Western",1970-12-18,"NR",37,"Western",1970
"94","Donkey Skin",0,0,"fr",6416,90,7.3,219,5590,NA,1970-12-20,NA,35,"Comedy",1970
"95","Donkey Skin",0,0,"fr",6416,90,7.3,219,5590,NA,1970-12-20,NA,18,"Drama",1970
"96","Donkey Skin",0,0,"fr",6416,90,7.3,219,5590,NA,1970-12-20,NA,14,"Fantasy",1970
"97","Donkey Skin",0,0,"fr",6416,90,7.3,219,5590,NA,1970-12-20,NA,10402,"Music",1970
"98","Donkey Skin",0,0,"fr",6416,90,7.3,219,5590,NA,1970-12-20,NA,10749,"Romance",1970
"99","They Call Me Trinity",0,0,"it",10699,106,7.6,673,9394,"Look out! Here comes Trinity...",1970-12-22,"G",28,"Action",1970
"100","They Call Me Trinity",0,0,"it",10699,106,7.6,673,9394,"Look out! Here comes Trinity...",1970-12-22,"G",35,"Comedy",1970
"101","They Call Me Trinity",0,0,"it",10699,106,7.6,673,9394,"Look out! Here comes Trinity...",1970-12-22,"G",37,"Western",1970
"102","The Aristocats",55675257,4e+06,"en",16669,78,7.3,3180,10112,"A tune-filled animated extravaganza.",1970-12-23,"G",12,"Adventure",1970
"103","The Aristocats",55675257,4e+06,"en",16669,78,7.3,3180,10112,"A tune-filled animated extravaganza.",1970-12-23,"G",16,"Animation",1970
"104","The Aristocats",55675257,4e+06,"en",16669,78,7.3,3180,10112,"A tune-filled animated extravaganza.",1970-12-23,"G",35,"Comedy",1970
"105","The Aristocats",55675257,4e+06,"en",16669,78,7.3,3180,10112,"A tune-filled animated extravaganza.",1970-12-23,"G",10751,"Family",1970
"106","The Decameron",0,0,"it",9883,112,7.1,134,33583,"Ribaldry! Rakes and libertines. Raised skirts and lowered lashes. A blush on every cheek. Pasolini. Filming The Decameron. Bringing life to art...and art to life.",1971-01-01,"R",35,"Comedy",1971
"107","The Decameron",0,0,"it",9883,112,7.1,134,33583,"Ribaldry! Rakes and libertines. Raised skirts and lowered lashes. A blush on every cheek. Pasolini. Filming The Decameron. Bringing life to art...and art to life.",1971-01-01,"R",18,"Drama",1971
"108","The Decameron",0,0,"it",9883,112,7.1,134,33583,"Ribaldry! Rakes and libertines. Raised skirts and lowered lashes. A blush on every cheek. Pasolini. Filming The Decameron. Bringing life to art...and art to life.",1971-01-01,"R",36,"History",1971
"109","Vanishing Point",72266306,1300000,"en",5698,99,7.2,224,11951,"It's the maximum trip... at maximum speed.",1971-01-15,"R",28,"Action",1971
"110","Vanishing Point",72266306,1300000,"en",5698,99,7.2,224,11951,"It's the maximum trip... at maximum speed.",1971-01-15,"R",18,"Drama",1971
"111","The Cat o' Nine Tails",1204739,1e+06,"it",6304,112,6.7,175,27431,"Caught between the truth and a murderer's hand!",1971-02-12,NA,27,"Horror",1971
"112","The Cat o' Nine Tails",1204739,1e+06,"it",6304,112,6.7,175,27431,"Caught between the truth and a murderer's hand!",1971-02-12,NA,9648,"Mystery",1971
"113","The Cat o' Nine Tails",1204739,1e+06,"it",6304,112,6.7,175,27431,"Caught between the truth and a murderer's hand!",1971-02-12,NA,53,"Thriller",1971
"114","Death in Venice",0,2,"it",5512,130,7.3,196,6619,"The celebrated story of a man obsessed by ideal beauty",1971-03-01,NA,18,"Drama",1971
"115","Get Carter",0,1814462,"en",6462,112,7.1,220,1485,NA,1971-03-03,"R",80,"Crime",1971
"116","Get Carter",0,1814462,"en",6462,112,7.1,220,1485,NA,1971-03-03,"R",53,"Thriller",1971
"117","THX 1138",2437000,777000,"en",8202,86,6.6,475,636,"Visit the future where love is the ultimate crime.",1971-03-11,"R",18,"Drama",1971
"118","THX 1138",2437000,777000,"en",8202,86,6.6,475,636,"Visit the future where love is the ultimate crime.",1971-03-11,"R",9648,"Mystery",1971
"119","THX 1138",2437000,777000,"en",8202,86,6.6,475,636,"Visit the future where love is the ultimate crime.",1971-03-11,"R",878,"Science Fiction",1971
"120","The Andromeda Strain",12376563,6500000,"en",8.73,131,7,325,10514,NA,1971-03-12,"G",878,"Science Fiction",1971
"121","The Andromeda Strain",12376563,6500000,"en",8.73,131,7,325,10514,NA,1971-03-12,"G",53,"Thriller",1971
"122","The Beguiled",0,0,"en",5745,105,7.1,201,31906,"One man...seven women...in a strange house!",1971-03-31,"R",18,"Drama",1971
"123","The Beguiled",0,0,"en",5745,105,7.1,201,31906,"One man...seven women...in a strange house!",1971-03-31,"R",53,"Thriller",1971
"124","The Beguiled",0,0,"en",5745,105,7.1,201,31906,"One man...seven women...in a strange house!",1971-03-31,"R",10752,"War",1971
"125","Delusions of Grandeur",0,0,"fr",6835,108,7.6,358,14257,NA,1971-04-01,"PG",35,"Comedy",1971
"126","Delusions of Grandeur",0,0,"fr",6835,108,7.6,358,14257,NA,1971-04-01,"PG",36,"History",1971
"127","Murmur of the Heart",0,0,"fr",9086,118,7.1,65,42501,"A souffle of a movie!",1971-04-27,"PG",35,"Comedy",1971
"128","Murmur of the Heart",0,0,"fr",9086,118,7.1,65,42501,"A souffle of a movie!",1971-04-27,"PG",18,"Drama",1971
"129","Murmur of the Heart",0,0,"fr",9086,118,7.1,65,42501,"A souffle of a movie!",1971-04-27,"PG",10749,"Romance",1971
"130","Bananas",11833696,2e+06,"en",5112,82,6.7,377,11302,NA,1971-04-28,"PG-13",35,"Comedy",1971
"131","Escape from the Planet of the Apes",12348905,2500000,"en",6922,98,6.4,505,1687,"Meet baby Milo who has Washington terrified.",1971-05-20,"G",28,"Action",1971
"132","Escape from the Planet of the Apes",12348905,2500000,"en",6922,98,6.4,505,1687,"Meet baby Milo who has Washington terrified.",1971-05-20,"G",878,"Science Fiction",1971
"133","Big Jake",0,0,"en",6533,110,7,98,21717,"They wanted gold. They gave them lead instead!",1971-05-26,"PG-13",37,"Western",1971
"134","The Panic in Needle Park",0,1645000,"en",6227,110,6.8,142,27554,"God help Bobby and Helen, they're in love in Needle Park",1971-06-01,"R",18,"Drama",1971
"135","The Panic in Needle Park",0,1645000,"en",6227,110,6.8,142,27554,"God help Bobby and Helen, they're in love in Needle Park",1971-06-01,"R",10749,"Romance",1971
"136","Klute",12512637,2500000,"en",8451,114,6.8,161,466,"You'd never take her for a call girl. You'd never take him for a cop.",1971-06-23,"R",9648,"Mystery",1971
"137","Klute",12512637,2500000,"en",8451,114,6.8,161,466,"You'd never take her for a call girl. You'd never take him for a cop.",1971-06-23,"R",53,"Thriller",1971
"138","Le Mans",0,0,"en",6078,104,7,99,5920,"Steve McQueen takes you for a drive in the country. The country is France. The drive is at 200 MPH!",1971-06-23,"G",28,"Action",1971
"139","Le Mans",0,0,"en",6078,104,7,99,5920,"Steve McQueen takes you for a drive in the country. The country is France. The drive is at 200 MPH!",1971-06-23,"G",18,"Drama",1971
"140","McCabe & Mrs. Miller",0,0,"en",7295,120,7.2,184,29005,"Name your poison",1971-06-24,"R",37,"Western",1971
"141","Willy Wonka & the Chocolate Factory",4e+06,3e+06,"en",13982,100,7.5,1887,252,"It's Scrumdidilyumptious!",1971-06-29,"G",35,"Comedy",1971
"142","Willy Wonka & the Chocolate Factory",4e+06,3e+06,"en",13982,100,7.5,1887,252,"It's Scrumdidilyumptious!",1971-06-29,"G",14,"Fantasy",1971
"143","Willy Wonka & the Chocolate Factory",4e+06,3e+06,"en",13982,100,7.5,1887,252,"It's Scrumdidilyumptious!",1971-06-29,"G",10751,"Family",1971
"144","The Devils",0,0,"en",6271,111,7.6,165,31767,"Hell holds no surprises for them.",1971-07-01,"R",18,"Drama",1971
"145","The Devils",0,0,"en",6271,111,7.6,165,31767,"Hell holds no surprises for them.",1971-07-01,"R",36,"History",1971
"146","Two-Lane Blacktop",0,850000,"en",7574,102,7,110,27236,"You can never go fast enough...",1971-07-07,"R",18,"Drama",1971
