"","film","revenue","budget","language","popularity","vote.average","vote.count","id","tagline","release.date","genre","certification","genre_txt","year","lustrum","decade","log_budget","log_rev"
"1","","","","",NA,NA,NA,"Genre","","",NA,"","null",NA,"","",0,0
"2","Action","","","",NA,NA,NA,"Action","","",NA,"","Genre",NA,"","",0,0
"3","Adventure","","","",NA,NA,NA,"Adventure","","",NA,"","Genre",NA,"","",0,0
"4","Animation","","","",NA,NA,NA,"Animation","","",NA,"","Genre",NA,"","",0,0
"5","Comedy","","","",NA,NA,NA,"Comedy","","",NA,"","Genre",NA,"","",0,0
"6","Crime","","","",NA,NA,NA,"Crime","","",NA,"","Genre",NA,"","",0,0
"7","Documentary","","","",NA,NA,NA,"Documentary","","",NA,"","Genre",NA,"","",0,0
"8","Drama","","","",NA,NA,NA,"Drama","","",NA,"","Genre",NA,"","",0,0
"9","Family","","","",NA,NA,NA,"Family","","",NA,"","Genre",NA,"","",0,0
"10","Fantasy","","","",NA,NA,NA,"Fantasy","","",NA,"","Genre",NA,"","",0,0
"11","History","","","",NA,NA,NA,"History","","",NA,"","Genre",NA,"","",0,0
"12","Horror","","","",NA,NA,NA,"Horror","","",NA,"","Genre",NA,"","",0,0
"13","Music","","","",NA,NA,NA,"Music","","",NA,"","Genre",NA,"","",0,0
"14","Mystery","","","",NA,NA,NA,"Mystery","","",NA,"","Genre",NA,"","",0,0
"15","Romance","","","",NA,NA,NA,"Romance","","",NA,"","Genre",NA,"","",0,0
"16","Science Fiction","","","",NA,NA,NA,"Science Fiction","","",NA,"","Genre",NA,"","",0,0
"17","Thriller","","","",NA,NA,NA,"Thriller","","",NA,"","Genre",NA,"","",0,0
"18","TV Movie","","","",NA,NA,NA,"TV Movie","","",NA,"","Genre",NA,"","",0,0
"19","War","","","",NA,NA,NA,"War","","",NA,"","Genre",NA,"","",0,0
"20","Western","","","",NA,NA,NA,"Western","","",NA,"","Genre",NA,"","",0,0
"21","M*A*S*H","81600000","3500000","en",8736,7.1,488,"651","M*A*S*H Gives A D*A*M*N.","24/01/1970",35,"R","Comedy",1970,"70-74","70-79",2.22530928172586,3.15472820744016
"22","Patton","89800000","12000000","en",9648,7.5,588,"11202","The Rebel Warrior","25/01/1970",18,"PG","Drama",1970,"70-74","70-79",1.79239168949825,3.17231096852195
"23","Tora! Tora! Tora!","29548291","25485000","en",6885,7.1,252,"11165","The incredible attack on Pearl Harbor.","26/01/1970",18,"G","Drama",1970,"70-74","70-79",2.13033376849501,2.86093662070009
"24","Zabriskie Point","1,00E+06","7,00E+06","en",6.8,7.2,204,"2998","How you get there depends on where you're at.","9/02/1970",18,"R","Drama",1970,"70-74","70-79",2.38381536598043,0.477121254719662
"25","The Party at Kitty and Stud's","0","5000","en",6188,2.9,35,"4255",NA,"10/02/1970",35,NA,"Comedy",1970,"70-74","70-79",2.32014628611105,0.301029995663981
"26","Scream and Scream Again","0","0","en",4.57,5.4,49,"42594","TRIPLE DISTILLED HORROR... as powerful as a vat of boiling ACID!","13/02/1970",80,"PG","Crime",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"27","Hercules in New York","0","0","en",6322,3.8,124,"5227",NA,"23/02/1970",28,"G","Action",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"28","The Bird with the Crystal Plumage","0","5,00E+05","it",7418,7.2,307,"20345","A stunning portrait in psycho-terror!","27/02/1970",27,"R","Horror",1970,"70-74","70-79",2.29885307640971,0.301029995663981
"29","Airport","100489151","1,00E+07","en",7008,6.5,170,"10671","The #1 novel of the year - now a motion picture!","5/03/1970",28,"G","Action",1970,"70-74","70-79",0.698970004336019,1.43136376415899
"30","Woodstock","34505110","6,00E+05","en",7419,7.5,136,"9459","3 days of peace, music...and love.","26/03/1970",99,"R","Documentary",1970,"70-74","70-79",2.34044411484012,2.92427928606188
"31","Tristana","0","0","es",5959,7.4,102,"35838","Somewhere between the innocent girl and the not so innocent mistress is the bizarre, sensuous story of Tristana","29/03/1970",18,NA,"Drama",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"32","Rio Lobo","0","0","en",5831,6.3,101,"26593","Give 'Em Hell, John.","1/04/1970",37,"G","Western",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"33","Kes","0","0","en",5362,7.5,197,"13384","They beat him.  They deprived him. they ridiculed him. They broke his heart but they couldn't break his spirit.","3/04/1970",18,"R","Drama",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"34","Beneath the Planet of the Apes","18999718","3,00E+06","en",8029,6.2,647,"1685","Now civilization's final battle between man and ape is about to begin.","1/05/1970",12,"G","Adventure",1970,"70-74","70-79",2.16136800223497,2.62428209583567
"35","A Man Called Horse","0","0","en",5883,6.4,92,"14676","A man called","1/05/1970",28,"R","Action",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"36","Taste the Blood of Dracula","0","0","en",5039,6.1,69,"29748","DRINK A PINT OF BLOOD A DAY","7/05/1970",27,"R","Horror",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"37","The Ballad of Cable Hogue","5,00E+06","3716946","en",5261,7.1,93,"23330","Cable Hogue says … “Do unto others … as you would have others do unto you.”","13/05/1970",28,"R","Action",1970,"70-74","70-79",2.23299611039215,3.04296907339318
"38","Borsalino","0","0","fr",4912,7,95,"25251",NA,"19/05/1970",80,NA,"Crime",1970,"70-74","70-79",0.301029995663981,0.301029995663981
"39","Two Mules for Sister Sara","5050000","0","en",8515,7,275,"11916","CLINT EASTWOOD...the deadliest man alive...takes on a whole army with two guns and a fistful of dynamite!","14/06/1970",37,"PG","Western",1970,"70-74","70-79",0.301029995663981,3.04805317311561
"40","Kelly's Heroes","5200000","4,00E+06","en",8608,7.4,346,"11589","They set out to rob a bank... and damn near won a war instead!","22/06/1970",12,"PG","Adventure",1970,"70-74","70-79",2.24303804868629,3.05499586152914
"41","Catch-22","24911670","1.8e+07","en",6.2,6.9,147,"10364",NA,"24/06/1970",35,"R","Comedy",1970,"70-74","70-79",1.69019608002851,2.79028516403324
"42","Beyond the Valley of the Dolls","4,00E+07","2090000","en",6483,6.5,101,"5722","This Is Not A Sequel. There Has Never Been Anything Like It!","17/07/1970",35,NA,"Comedy",1970,"70-74","70-79",2.10037054511756,2.98227123303957
